


0,"12.8.2021, 15:46:00",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 27
0,"12.8.2021, 15:49:10",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 94
0,"12.8.2021, 15:51:36",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 5
0,"12.8.2021, 15:53:42",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 77
0,"12.8.2021, 15:55:26",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 40
0,"12.8.2021, 15:57:47",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 89
0,"12.8.2021, 15:59:22",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 35
0,"12.8.2021, 16:01:08",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 88
0,"12.8.2021, 16:03:34",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 90
0,"12.8.2021, 16:05:40",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 39
